"LETO";"STANOVANJSKE RAZMERE";"STANOVANJSKO RAZMERJE GOSPODINJSTVA";Stanovanjske razmere
"2016";"Ni primernega ogrevanja";"Najemniki";14
"2016";"Ni primernega ogrevanja";"Uporabniki";8
"2016";"Pretemno stanovanje";"SKUPAJ";5
"2016";"Pretemno stanovanje";"Lastniki";4
"2016";"Pretemno stanovanje";"Najemniki";9
"2016";"Pretemno stanovanje";"Uporabniki";6
"2016";"Težave s hrupom";"SKUPAJ";15
"2016";"Težave s hrupom";"Lastniki";14
"2016";"Težave s hrupom";"Najemniki";21
"2016";"Težave s hrupom";"Uporabniki";12
"2016";"Onesnaženost okolja";"SKUPAJ";16
"2016";"Onesnaženost okolja";"Lastniki";17
"2016";"Onesnaženost okolja";"Najemniki";14
"2016";"Onesnaženost okolja";"Uporabniki";14
"2016";"Prisotnost kriminala";"SKUPAJ";9
"2016";"Prisotnost kriminala";"Lastniki";9
"2016";"Prisotnost kriminala";"Najemniki";8
"2016";"Prisotnost kriminala";"Uporabniki";7
"2017";"Slabo stanje stanovanja";"SKUPAJ";23
"2017";"Slabo stanje stanovanja";"Lastniki";22
"2017";"Slabo stanje stanovanja";"Najemniki";27
"2017";"Slabo stanje stanovanja";"Uporabniki";23
"2017";"Ni primernega ogrevanja";"SKUPAJ";5
"2017";"Ni primernega ogrevanja";"Lastniki";4
"2017";"Ni primernega ogrevanja";"Najemniki";12
"2017";"Ni primernega ogrevanja";"Uporabniki";7
"2017";"Pretemno stanovanje";"SKUPAJ";5
"2017";"Pretemno stanovanje";"Lastniki";4
"2017";"Pretemno stanovanje";"Najemniki";9
"2017";"Pretemno stanovanje";"Uporabniki";6
"2017";"Težave s hrupom";"SKUPAJ";14
"2017";"Težave s hrupom";"Lastniki";14
"2017";"Težave s hrupom";"Najemniki";17
"2017";"Težave s hrupom";"Uporabniki";12
"2017";"Onesnaženost okolja";"SKUPAJ";17
"2017";"Onesnaženost okolja";"Lastniki";18
"2017";"Onesnaženost okolja";"Najemniki";15
"2017";"Onesnaženost okolja";"Uporabniki";15
"2017";"Prisotnost kriminala";"SKUPAJ";8
"2017";"Prisotnost kriminala";"Lastniki";9
"2017";"Prisotnost kriminala";"Najemniki";7
"2017";"Prisotnost kriminala";"Uporabniki";7
"2018";"Slabo stanje stanovanja";"SKUPAJ";23
"2018";"Slabo stanje stanovanja";"Lastniki";22
"2018";"Slabo stanje stanovanja";"Najemniki";28
"2018";"Slabo stanje stanovanja";"Uporabniki";24
"2018";"Ni primernega ogrevanja";"SKUPAJ";4
"2018";"Ni primernega ogrevanja";"Lastniki";4
"2018";"Ni primernega ogrevanja";"Najemniki";8
"2018";"Ni primernega ogrevanja";"Uporabniki";5
"2018";"Pretemno stanovanje";"SKUPAJ";6
"2018";"Pretemno stanovanje";"Lastniki";5
"2018";"Pretemno stanovanje";"Najemniki";11
"2018";"Pretemno stanovanje";"Uporabniki";6
"2018";"Težave s hrupom";"SKUPAJ";15
"2018";"Težave s hrupom";"Lastniki";16
"2018";"Težave s hrupom";"Najemniki";15
"2018";"Težave s hrupom";"Uporabniki";11
"2018";"Onesnaženost okolja";"SKUPAJ";17
"2018";"Onesnaženost okolja";"Lastniki";18
"2018";"Onesnaženost okolja";"Najemniki";12
"2018";"Onesnaženost okolja";"Uporabniki";13
"2018";"Prisotnost kriminala";"SKUPAJ";8
"2018";"Prisotnost kriminala";"Lastniki";8
"2018";"Prisotnost kriminala";"Najemniki";6
"2018";"Prisotnost kriminala";"Uporabniki";7
"2019";"Slabo stanje stanovanja";"SKUPAJ";21
"2019";"Slabo stanje stanovanja";"Lastniki";20
"2019";"Slabo stanje stanovanja";"Najemniki";27
"2019";"Slabo stanje stanovanja";"Uporabniki";21
"2019";"Ni primernega ogrevanja";"SKUPAJ";3
"2019";"Ni primernega ogrevanja";"Lastniki";3
"2019";"Ni primernega ogrevanja";"Najemniki";4
"2019";"Ni primernega ogrevanja";"Uporabniki";3
"2019";"Pretemno stanovanje";"SKUPAJ";5
"2019";"Pretemno stanovanje";"Lastniki";4
"2019";"Pretemno stanovanje";"Najemniki";10
"2019";"Pretemno stanovanje";"Uporabniki";5
"2019";"Težave s hrupom";"SKUPAJ";15
"2019";"Težave s hrupom";"Lastniki";15
"2019";"Težave s hrupom";"Najemniki";21
"2019";"Težave s hrupom";"Uporabniki";11
"2019";"Onesnaženost okolja";"SKUPAJ";16
"2019";"Onesnaženost okolja";"Lastniki";17
"2019";"Onesnaženost okolja";"Najemniki";12
"2019";"Onesnaženost okolja";"Uporabniki";15
"2019";"Prisotnost kriminala";"SKUPAJ";8
"2019";"Prisotnost kriminala";"Lastniki";8
"2019";"Prisotnost kriminala";"Najemniki";8
"2019";"Prisotnost kriminala";"Uporabniki";6
