"TIP GOSPODINJSTVA";"LETO";"STANOVANJSKE RAZMERE";Stanovanjske razmere
"Dva odrasla brez vzdrževanih otrok";"2010";"Težave s hrupom";20
"Dva odrasla brez vzdrževanih otrok";"2010";"Onesnaženost okolja";22
"Dva odrasla brez vzdrževanih otrok";"2010";"Prisotnost kriminala";9
"Dva odrasla brez vzdrževanih otrok";"2011";"Slabo stanje stanovanja";35
"Dva odrasla brez vzdrževanih otrok";"2011";"Ni primernega ogrevanja";5
"Dva odrasla brez vzdrževanih otrok";"2011";"Pretemno stanovanje";12
"Dva odrasla brez vzdrževanih otrok";"2011";"Težave s hrupom";21
"Dva odrasla brez vzdrževanih otrok";"2011";"Onesnaženost okolja";23
"Dva odrasla brez vzdrževanih otrok";"2011";"Prisotnost kriminala";10
"Dva odrasla brez vzdrževanih otrok";"2012";"Slabo stanje stanovanja";31
"Dva odrasla brez vzdrževanih otrok";"2012";"Ni primernega ogrevanja";6
"Dva odrasla brez vzdrževanih otrok";"2012";"Pretemno stanovanje";9
"Dva odrasla brez vzdrževanih otrok";"2012";"Težave s hrupom";16
"Dva odrasla brez vzdrževanih otrok";"2012";"Onesnaženost okolja";18
"Dva odrasla brez vzdrževanih otrok";"2012";"Prisotnost kriminala";8
"Dva odrasla brez vzdrževanih otrok";"2013";"Slabo stanje stanovanja";26
"Dva odrasla brez vzdrževanih otrok";"2013";"Ni primernega ogrevanja";5
"Dva odrasla brez vzdrževanih otrok";"2013";"Pretemno stanovanje";6
"Dva odrasla brez vzdrževanih otrok";"2013";"Težave s hrupom";15
"Dva odrasla brez vzdrževanih otrok";"2013";"Onesnaženost okolja";18
"Dva odrasla brez vzdrževanih otrok";"2013";"Prisotnost kriminala";9
"Dva odrasla brez vzdrževanih otrok";"2014";"Slabo stanje stanovanja";29
"Dva odrasla brez vzdrževanih otrok";"2014";"Ni primernega ogrevanja";6
"Dva odrasla brez vzdrževanih otrok";"2014";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2014";"Težave s hrupom";16
"Dva odrasla brez vzdrževanih otrok";"2014";"Onesnaženost okolja";17
"Dva odrasla brez vzdrževanih otrok";"2014";"Prisotnost kriminala";9
"Dva odrasla brez vzdrževanih otrok";"2015";"Slabo stanje stanovanja";27
"Dva odrasla brez vzdrževanih otrok";"2015";"Ni primernega ogrevanja";6
"Dva odrasla brez vzdrževanih otrok";"2015";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2015";"Težave s hrupom";15
"Dva odrasla brez vzdrževanih otrok";"2015";"Onesnaženost okolja";18
"Dva odrasla brez vzdrževanih otrok";"2015";"Prisotnost kriminala";10
"Dva odrasla brez vzdrževanih otrok";"2016";"Slabo stanje stanovanja";24
"Dva odrasla brez vzdrževanih otrok";"2016";"Ni primernega ogrevanja";5
"Dva odrasla brez vzdrževanih otrok";"2016";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2016";"Težave s hrupom";16
"Dva odrasla brez vzdrževanih otrok";"2016";"Onesnaženost okolja";19
"Dva odrasla brez vzdrževanih otrok";"2016";"Prisotnost kriminala";8
"Dva odrasla brez vzdrževanih otrok";"2017";"Slabo stanje stanovanja";22
"Dva odrasla brez vzdrževanih otrok";"2017";"Ni primernega ogrevanja";5
"Dva odrasla brez vzdrževanih otrok";"2017";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2017";"Težave s hrupom";16
"Dva odrasla brez vzdrževanih otrok";"2017";"Onesnaženost okolja";19
"Dva odrasla brez vzdrževanih otrok";"2017";"Prisotnost kriminala";9
"Dva odrasla brez vzdrževanih otrok";"2018";"Slabo stanje stanovanja";20
"Dva odrasla brez vzdrževanih otrok";"2018";"Ni primernega ogrevanja";4
"Dva odrasla brez vzdrževanih otrok";"2018";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2018";"Težave s hrupom";17
"Dva odrasla brez vzdrževanih otrok";"2018";"Onesnaženost okolja";19
"Dva odrasla brez vzdrževanih otrok";"2018";"Prisotnost kriminala";9
"Dva odrasla brez vzdrževanih otrok";"2019";"Slabo stanje stanovanja";21
"Dva odrasla brez vzdrževanih otrok";"2019";"Ni primernega ogrevanja";3
"Dva odrasla brez vzdrževanih otrok";"2019";"Pretemno stanovanje";5
"Dva odrasla brez vzdrževanih otrok";"2019";"Težave s hrupom";17
"Dva odrasla brez vzdrževanih otrok";"2019";"Onesnaženost okolja";18
"Dva odrasla brez vzdrževanih otrok";"2019";"Prisotnost kriminala";8
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Slabo stanje stanovanja";35
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Ni primernega ogrevanja";5
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Pretemno stanovanje";11
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Težave s hrupom";17
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Onesnaženost okolja";20
"Druga gospodinjstva brez vzdrževanih otrok";"2010";"Prisotnost kriminala";9
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Slabo stanje stanovanja";38
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Ni primernega ogrevanja";6
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Pretemno stanovanje";11
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Težave s hrupom";17
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Onesnaženost okolja";21
"Druga gospodinjstva brez vzdrževanih otrok";"2011";"Prisotnost kriminala";8
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Slabo stanje stanovanja";34
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Ni primernega ogrevanja";6
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Pretemno stanovanje";8
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Težave s hrupom";16
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Onesnaženost okolja";17
"Druga gospodinjstva brez vzdrževanih otrok";"2012";"Prisotnost kriminala";8
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Slabo stanje stanovanja";29
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Ni primernega ogrevanja";5
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Pretemno stanovanje";7
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Težave s hrupom";13
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Onesnaženost okolja";17
"Druga gospodinjstva brez vzdrževanih otrok";"2013";"Prisotnost kriminala";9
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Slabo stanje stanovanja";33
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Ni primernega ogrevanja";6
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Pretemno stanovanje";5
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Težave s hrupom";14
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Onesnaženost okolja";18
"Druga gospodinjstva brez vzdrževanih otrok";"2014";"Prisotnost kriminala";10
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Slabo stanje stanovanja";30
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Ni primernega ogrevanja";6
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Pretemno stanovanje";5
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Težave s hrupom";12
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Onesnaženost okolja";17
"Druga gospodinjstva brez vzdrževanih otrok";"2015";"Prisotnost kriminala";9
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Slabo stanje stanovanja";26
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Ni primernega ogrevanja";4
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Pretemno stanovanje";5
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Težave s hrupom";15
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Onesnaženost okolja";15
"Druga gospodinjstva brez vzdrževanih otrok";"2016";"Prisotnost kriminala";7
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Slabo stanje stanovanja";25
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Ni primernega ogrevanja";3
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Pretemno stanovanje";4
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Težave s hrupom";15
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Onesnaženost okolja";15
"Druga gospodinjstva brez vzdrževanih otrok";"2017";"Prisotnost kriminala";8
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Slabo stanje stanovanja";26
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Ni primernega ogrevanja";3
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Pretemno stanovanje";6
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Težave s hrupom";17
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Onesnaženost okolja";17
"Druga gospodinjstva brez vzdrževanih otrok";"2018";"Prisotnost kriminala";8
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Slabo stanje stanovanja";23
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Ni primernega ogrevanja";2
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Pretemno stanovanje";4
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Težave s hrupom";16
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Onesnaženost okolja";17
"Druga gospodinjstva brez vzdrževanih otrok";"2019";"Prisotnost kriminala";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Slabo stanje stanovanja";40
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Ni primernega ogrevanja";7
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Pretemno stanovanje";21
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Težave s hrupom";23
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Onesnaženost okolja";20
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2010";"Prisotnost kriminala";14
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Slabo stanje stanovanja";39
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Ni primernega ogrevanja";9
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Pretemno stanovanje";15
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Težave s hrupom";19
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Onesnaženost okolja";18
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2011";"Prisotnost kriminala";11
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Slabo stanje stanovanja";35
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Ni primernega ogrevanja";11
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Pretemno stanovanje";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Težave s hrupom";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Onesnaženost okolja";23
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2012";"Prisotnost kriminala";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Slabo stanje stanovanja";35
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Ni primernega ogrevanja";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Pretemno stanovanje";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Težave s hrupom";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Onesnaženost okolja";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2013";"Prisotnost kriminala";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Slabo stanje stanovanja";39
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Ni primernega ogrevanja";9
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Pretemno stanovanje";7
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Težave s hrupom";19
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Onesnaženost okolja";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2014";"Prisotnost kriminala";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Slabo stanje stanovanja";34
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Ni primernega ogrevanja";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Pretemno stanovanje";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Težave s hrupom";18
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Onesnaženost okolja";21
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2015";"Prisotnost kriminala";13
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Slabo stanje stanovanja";33
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Ni primernega ogrevanja";10
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Pretemno stanovanje";7
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Težave s hrupom";13
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Onesnaženost okolja";17
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2016";"Prisotnost kriminala";12
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Slabo stanje stanovanja";27
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Ni primernega ogrevanja";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Pretemno stanovanje";7
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Težave s hrupom";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Onesnaženost okolja";18
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2017";"Prisotnost kriminala";11
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Slabo stanje stanovanja";30
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Ni primernega ogrevanja";8
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Pretemno stanovanje";6
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Težave s hrupom";14
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Onesnaženost okolja";16
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2018";"Prisotnost kriminala";7
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Slabo stanje stanovanja";22
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Ni primernega ogrevanja";3
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Pretemno stanovanje";4
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Težave s hrupom";17
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Onesnaženost okolja";15
"Enostarševsko gospodinjstvo z vsaj enim vzdrževanim otrokom";"2019";"Prisotnost kriminala";6
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Slabo stanje stanovanja";28
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Ni primernega ogrevanja";3
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Pretemno stanovanje";10
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Težave s hrupom";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Onesnaženost okolja";17
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2010";"Prisotnost kriminala";9
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Slabo stanje stanovanja";31
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Ni primernega ogrevanja";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Pretemno stanovanje";12
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Težave s hrupom";16
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Onesnaženost okolja";18
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2011";"Prisotnost kriminala";9
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Slabo stanje stanovanja";28
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Ni primernega ogrevanja";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Pretemno stanovanje";9
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Težave s hrupom";13
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Onesnaženost okolja";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2012";"Prisotnost kriminala";8
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Slabo stanje stanovanja";24
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Ni primernega ogrevanja";3
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Pretemno stanovanje";6
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Težave s hrupom";11
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Onesnaženost okolja";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2013";"Prisotnost kriminala";9
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Slabo stanje stanovanja";27
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Ni primernega ogrevanja";3
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Pretemno stanovanje";5
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Težave s hrupom";11
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Onesnaženost okolja";15
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2014";"Prisotnost kriminala";10
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Slabo stanje stanovanja";24
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Ni primernega ogrevanja";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Pretemno stanovanje";5
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Težave s hrupom";12
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Onesnaženost okolja";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2015";"Prisotnost kriminala";10
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Slabo stanje stanovanja";21
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Ni primernega ogrevanja";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Pretemno stanovanje";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Težave s hrupom";12
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Onesnaženost okolja";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2016";"Prisotnost kriminala";9
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Slabo stanje stanovanja";19
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Ni primernega ogrevanja";2
